name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ahmedabad,2020-01-01,23,13,17.5,23,13,17.5,11.2,66.8,0,0,0,,0,0,30.2,20.5,56.6,1015.5,21.8,3,154.3,13.2,6,,2020-01-01T07:20:31,2020-01-01T18:05:13,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-02,23.5,13,18,23.5,13,18,13.6,76,0,0,0,,0,0,25.6,14.8,38.1,1017.5,37.7,2.6,167.7,14.3,6,,2020-01-02T07:20:50,2020-01-02T18:05:51,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-03,23.1,14,17.4,23.1,14,17.4,12.8,75.7,0,0,0,,0,0,23.4,13,44.1,1017.7,30.1,2.7,190,16.5,7,,2020-01-03T07:21:07,2020-01-03T18:06:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999,remote"
Ahmedabad,2020-01-04,24,12,17.7,24,12,17.7,11.6,70.4,0,0,0,,0,0,26.3,14.8,38.7,1016.5,22.9,2.9,192.5,16.7,7,,2020-01-04T07:21:23,2020-01-04T18:07:10,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-05,25.3,13,18.3,25.3,13,18.3,8.9,57.8,0,0,0,,0,0,31.3,13,58.4,1016.7,0,3.9,194.8,16.8,7,,2020-01-05T07:21:38,2020-01-05T18:07:50,0.32,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-06,27,14,20.1,27,14,20.1,11.8,60.2,0,0,0,,0,0,29.9,14.8,60.5,1016.1,10.6,4,191.6,16.6,7,,2020-01-06T07:21:51,2020-01-06T18:08:30,0.35,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-07,29.7,17,22.3,29.4,17,22.2,13.8,60.2,0,0,0,,0,0,19.4,9.4,357.6,1013.8,48.4,3.5,162.7,14.1,6,,2020-01-07T07:22:04,2020-01-07T18:09:11,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-08,25.3,14,19.3,25.3,14,19.3,10.9,60.9,0,0,0,,0,0,31.7,14.8,330.3,1014.1,21.8,3.8,188.4,16.4,7,,2020-01-08T07:22:14,2020-01-08T18:09:53,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-09,21.7,7,15.6,21.7,7,15.6,4.3,49.4,0,0,0,,0,0,36,18.4,50.7,1017.9,0,4.2,206.5,17.8,8,,2020-01-09T07:22:24,2020-01-09T18:10:34,0.45,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-10,21.5,10,15.8,21.5,7.9,15.6,4.3,47.7,0,0,0,,0,0,41,22.8,58.1,1017.8,0,4.1,206.3,17.8,8,,2020-01-10T07:22:32,2020-01-10T18:11:16,0.48,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-11,24,12,17.9,24,12,17.9,6.9,49.1,0,0,0,,0,0,33.5,18.4,59.2,1016.5,1.9,4.2,192.6,16.9,7,,2020-01-11T07:22:39,2020-01-11T18:11:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
Ahmedabad,2020-01-12,29,16,22,28.8,16,22,12.1,54.2,0,0,0,,0,0,28.1,11.2,67.6,1014.2,4.9,3.9,192.9,16.8,7,,2020-01-12T07:22:44,2020-01-12T18:12:41,0.55,Clear,Clear conditions throughout the day.,clear-day,"42647099999,42654099999,VAAH,42744099999"
